('episode:', 6000, ' /move_cnt:', 2283, ' / rnd:', 2271, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 1.1924801269987861), (u'average_loss', 0.0791341940648513)], ' / epsilon:', 0.99356203)
('episode:', 6100, ' /move_cnt:', 2465, ' / rnd:', 2448, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 1.202564521047102), (u'average_loss', 0.0845872969541931)], ' / epsilon:', 0.99345124)
('episode:', 6200, ' /move_cnt:', 2372, ' / rnd:', 2353, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 1.2132457316692116), (u'average_loss', 0.08375013308605699)], ' / epsilon:', 0.99334099)
('episode:', 6300, ' /move_cnt:', 2453, ' / rnd:', 2443, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.2200565777070538), (u'average_loss', 0.07212961060752937)], ' / epsilon:', 0.99323074)
('episode:', 6400, ' /move_cnt:', 2489, ' / rnd:', 2468, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.2353739600600495), (u'average_loss', 0.07906824824910563)], ' / epsilon:', 0.99311887)
('episode:', 6500, ' /move_cnt:', 2480, ' / rnd:', 2466, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 1.2567844653655045), (u'average_loss', 0.09149412892670682)], ' / epsilon:', 0.99300736)
('episode:', 6600, ' /move_cnt:', 2325, ' / rnd:', 2315, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 1.2832858448206146), (u'average_loss', 0.09111949108213477)], ' / epsilon:', 0.99290602)
('episode:', 6700, ' /move_cnt:', 2514, ' / rnd:', 2498, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.275724352255107), (u'average_loss', 0.08175936582461306)], ' / epsilon:', 0.99278911)
('episode:', 6800, ' /move_cnt:', 2364, ' / rnd:', 2353, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.249759655690298), (u'average_loss', 0.09189550978933451)], ' / epsilon:', 0.99268309)
('episode:', 6900, ' /move_cnt:', 2302, ' / rnd:', 2285, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 1.3385931206277044), (u'average_loss', 0.08778457632609127)], ' / epsilon:', 0.99257977)
